#DSID  filter-efficiency cross-section k-factor
345073 0.46656 2.3687E-04 1
345074 0.17685 2.3687E-04 1
345075 0.17679 2.3687E-04 1
345076 0.47293 2.3687E-04 1
345120 0.43346 2.7757E-03 1
345121 0.16609 2.7757E-03 1
345122 0.16615 2.7757E-03 1
345123 0.45043 2.7757E-03 1
345211 1 3.3598E-05 1
345212 1 5.3618E-05 1
345217 1 6.1639E-05 1
345672 1 1.9846E-04 1
345673 0.43862 5.4885E-04 1
345674 1 5.7960E-05 1
363355 0.27686 1.5560E-02 1
363357 1 6.7951E-03 1
363358 1 3.4328E-03 1
363359 1 2.4708E-02 1
363360 1 2.4724E-02 1
363489 1 1.1419E-02 1
363494 1 6.0293E-04 1
364100 0.82175 1.9824E+00 0.9751
364101 0.11358 1.9821E+00 0.9751
364102 0.065797 1.9815E+00 0.9751
364103 0.68992 1.0914E-01 0.9751
364104 0.19704 1.0881E-01 0.9751
364106 0.59942 3.9870E-02 0.9751
364107 0.23527 3.9857E-02 0.9751
364108 0.15622 3.9891E-02 0.9751
364109 0.56023 8.5256E-03 0.9751
364110 0.26641 8.5259E-03 0.9751
364113 1 1.4760E-04 0.9751
364114 0.82133 1.9816E+00 0.9751
364115 0.11386 1.9815E+00 0.9751
364116 0.065757 1.9820E+00 0.9751
364117 0.69423 1.1065E-01 0.9751
364118 0.18855 1.1050E-01 0.9751
364119 0.11827 1.1046E-01 0.9751
364120 0.61615 4.0645E-02 0.9751
364122 0.15333 4.0674E-02 0.9751
364123 0.56739 8.6701E-03 0.9751
364124 0.26618 8.6668E-03 0.9751
364125 0.17653 8.6812E-03 0.9751
364126 1 1.8092E-03 0.9751
364127 1 1.4875E-04 0.9751
364128 0.83449 1.9817E+00 0.9751
364129 0.10956 1.9817E+00 0.9751
364130 0.065757 1.9821E+00 0.9751
364132 0.1906 1.1046E-01 0.9751
364133 0.11833 1.1066E-01 0.9751
364134 0.6188 4.0756E-02 0.9751
364135 0.23429 4.0716E-02 0.9751
364136 0.1553 4.0746E-02 0.9751
364137 0.5634 8.6639E-03 0.9751
364138 0.26433 8.6760E-03 0.9751
364139 0.17627 8.6795E-03 0.9751
364140 1 1.8078E-03 0.9751
364141 1 1.4826E-04 0.9751
364156 0.8245 1.9149E+01 0.9702
364157 0.13091 1.9142E+01 0.9702
364158 0.044641 1.9138E+01 0.9702
364159 0.6743 9.4552E-01 0.9702
364160 0.24352 9.4538E-01 0.9702
364161 0.083746 9.4434E-01 0.9702
364162 0.60009 3.3973E-01 0.9702
364163 0.29256 3.3980E-01 0.9702
364164 0.1108 3.3964E-01 0.9702
364165 0.54768 7.2079E-02 0.9702
364166 0.32016 7.2100E-02 0.9702
364167 0.12542 7.2058E-02 0.9702
364168 1 1.5006E-02 0.9702
364169 1 1.2348E-03 0.9702
364170 0.82467 1.9153E+01 0.9702
364171 0.13086 1.9145E+01 0.9702
364172 0.04482 1.9138E+01 0.9702
364173 0.67483 9.4498E-01 0.9702
364174 0.24413 9.4574E-01 0.9702
364175 0.084934 9.4577E-01 0.9702
364176 0.59858 3.3975E-01 0.9702
364177 0.28804 3.3980E-01 0.9702
364178 0.11088 3.3964E-01 0.9702
364179 0.5483 7.2074E-02 0.9702
364180 0.31969 7.2105E-02 0.9702
364182 1 1.5047E-02 0.9702
364183 1 1.2344E-03 0.9702
364184 0.82462 1.9155E+01 0.9702
364185 0.13152 1.9149E+01 0.9702
364186 0.045098 1.9144E+01 0.9702
364187 0.67562 9.4502E-01 0.9702
364188 0.24247 9.4623E-01 0.9702
364190 0.59884 3.3969E-01 0.9702
364191 0.28478 3.3980E-01 0.9702
364192 0.10578 3.3931E-01 0.9702
364193 0.56172 7.2079E-02 0.9702
364194 0.31863 7.1990E-02 0.9702
364195 0.13597 7.1945E-02 0.9702
364196 1 1.5052E-02 0.9702
364197 1 1.2341E-03 0.9702
364250 1 1.2520E-03 1
364253 1 4.5765E-03 1
364254 1 1.2501E-02 1
364255 1 3.2344E-03 1
410470 0.54384 7.2977E-01 1.13975636159
410471 0.45627 7.2978E-01 1.13974074379
410642 1 3.6993E-02 1.1935
410643 1 2.2174E-02 1.1850
410644 1 2.0267E-03 1.0170
410645 1 1.2674E-03 1.0167
410646 1 3.7936E-02 0.9450
410647 1 3.7905E-02 0.9457
410658 1 3.6996E-02 1.1935
410659 1 2.2175E-02 1.1849
411170 1 3.53336E-04 1
411171 1 3.53473E-04 1
411172 1 1.69813E-04 1
411173 1 1.69877E-04 1
411174 1 3.53336E-04 1
411175 1 3.53365E-04 1
411176 1 1.69813E-04 1
411177 1 1.69813E-04 1
412098 0.42715 1.1859E-04 1
412099 0.34913 2.4691E-04 1
412100 0.56858 1.7164E-05 1
412101 0.49398 3.5739E-05 1
412102 0.42815 1.1856E-04 1
412103 0.34851 2.4664E-04 1
412104 0.57055 1.7190E-05 1
412105 0.49451 3.5759E-05 1
